Hotel_ID,Hotel_Name,City,Hotel_Facilities,Country,Latitude,Longitude,Point_of_Interest,Property_Type,Room_Count,Room_Type,Goibibo_Rating,State,Existence_of_Airport,Hotel_Star_Rating,MMT_Rating,Free_Internet,Gym,Internet_Access,Restaurant,Room_Service,Spa,Swimming_Pool
186,The Royal Inn,Udaipur,Room Service|Internet Access|Restaurant,India,24.59310838,73.70983413,8,Hotel,28,Royal Deluxe Room,3.5,Rajasthan,1,1,3.5,0,0,1,1,1,0,0
187,The Royal Lake View Villa,Udaipur,Room Service|Restaurant,India,24.5804649,73.6795992,7,Guest House,5,Super Deluxe Room,4,Rajasthan,1,1,4,0,0,0,1,1,0,0
188,The Royal Regency,Manali,Room Service|Internet Access|Restaurant|Free Internet,India,32.2367909,77.1944707,13,Hotel,24,Honeymoon Suite,4.5,Himachal Pradesh,1,1,4.7,1,0,1,1,1,0,0
189,The Royale Country Retreat,Udaipur,Room Service|Internet Access|Free Internet,India,24.5819295,73.6393631,2,Homestay,6,Deluxe Room,4.1,Rajasthan,1,3,3.7,1,0,1,0,1,0,0
190,The Sea Horse Resort,Goa,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,India,15.57147884,73.75791168,4,Resort,38,Deluxe Room,4.3,Goa,1,3,4.3,0,1,1,1,1,1,1
191,The Shubham Beach,Puri,Room Service|Internet Access|Restaurant,India,19.8035941,85.8436637,11,Hotel,12,Classic Room,4.1,Orissa,0,3,4.1,0,0,1,1,1,0,0
192,The Signature Inn,Bangalore,Room Service,India,12.97304005,77.57071962,19,Hotel,43,Double Deluxe Non AC Room,4.2,Karnataka,0,2,4.2,0,0,0,0,1,0,0
193,The Solitaire,Bangalore,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,India,12.9847346,77.5794502,30,Hotel,104,Superior Room,3.6,Karnataka,0,4,3.6,0,1,1,1,1,1,1
194,The Solitaire,Dehradun,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,India,30.2877831,78.0466933,1,Hotel,53,Executive Suite,4.2,Uttarakhand,0,4,3.6,0,1,1,1,1,1,1
195,The Solluna Resort,Corbett,Room Service|Swimming Pool|Restaurant,India,29.600425,79.0919133,5,Resort,47,Superior Room,4.4,Uttarakhand,0,5,4.9,0,0,0,1,1,0,1
196,The SPK Hotel,Madurai,Room Service|Internet Access|Gym/Spa|Restaurant,India,9.932786942,78.1488961,4,Hotel,31,Standard Room,4.3,Tamil Nadu,1,3,4.6,0,1,1,1,1,1,0
197,The Splendour Park- Trinity Circle,Bangalore,Room Service,India,12.9817147,77.6285585,10,Hotel,30,Deluxe Room,4,Karnataka,1,3,4,0,0,0,0,1,0,0
198,The Tavern,Bangalore,Room Service,India,12.89081056,77.59483414,8,Service Apartment,10,Executive Non AC Room,4,Karnataka,0,1,4,0,0,0,0,1,0,0
199,The Tiger Paw Resort,Masinagudi,Room Service,India,11.5721768,76.6427152,2,Resort,10,Standard Room,4,Tamil Nadu,1,2,4,0,0,0,0,1,0,0
200,The Tubki Resort,Goa,Room Service|Swimming Pool|Restaurant,India,14.99793737,74.03962276,12,Resort,27,Standard Room,4.4,Goa,1,3,4.1,0,0,0,1,1,0,1
201,The Ummed Ahmedabad,Ahmedabad,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,India,23.0755844,72.6202567,11,Hotel,46,Deluxe Room,4.4,Gujarat,0,5,4.4,0,1,1,1,1,1,1
202,The Urmi,Haridwar,Room Service|Internet Access|Restaurant,India,29.9873342,78.185477,4,Hotel,20,Deluxe AC Room,4.5,Uttarakhand,0,3,4.5,0,0,1,1,1,0,0
203,The Village Inn,Goa,Room Service|Restaurant,India,15.3162262,73.9080581,6,Hotel,40,Deluxe Room,4,Goa,1,1,4,0,0,0,1,1,0,0
204,The Villagio,Pahalgam,Room Service|Free Internet,India,33.9930878,75.3176793,2,Hotel,5,Deluxe Room,4.4,Jammu and Kashmir,0,3,4.4,1,0,0,0,1,0,0
205,The Westend,Ahmedabad,Room Service|Internet Access|Restaurant,India,23.02173304,72.56784281,33,Hotel,40,Deluxe Room,4.5,Gujarat,1,3,3.9,0,0,1,1,1,0,0
206,The Willow Resorts,Wayanad,Room Service|Restaurant,India,11.6137043,76.1970685,1,Resort,4,Two Bedroom Villa,4.5,Kerala,1,3,4.5,0,0,0,1,1,0,0
207,The Wings Hotel,Jaipur,Room Service|Internet Access|Free Internet,India,26.8070234,75.8097867,6,Hotel,8,Non AC Room,4,Rajasthan,0,1,4,1,0,1,0,1,0,0
208,Timber Trail Heights,Parwanoo,Room Service|Restaurant,India,30.8361531,76.981844,9,Resort,54,Deluxe Room,3.8,Himachal Pradesh,0,4,4,0,0,0,1,1,0,0
209,Tourist Hotel,Manali,Room Service|Internet Access|Restaurant,India,32.25514,77.1838917,23,Hotel,12,Deluxe Room,4.2,Himachal Pradesh,0,2,4.1,0,0,1,1,1,0,0
210,Town Country Guest House,Kodaikanal,Restaurant,India,10.2417371,77.4949696,11,Guest House,13,Deluxe Room,3.4,Tamil Nadu,1,1,3.8,0,0,0,1,0,0,0
211,Tranquil Greens,Thekkady,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant|Free Internet,India,9.809305005,77.23682539,1,Resort,8,Executive Non AC Room,5,Kerala,1,3,5,1,1,1,1,1,1,1
212,Tree of Life Jaagir Lodge,Lakhimpur,Swimming Pool|Room Service,India,28.50190426,80.50958969,1,Lodge,6,Luxury Room,4,Uttar Pradesh,0,5,4,0,0,0,0,1,0,1
213,Treebo Arma Residency,Mumbai,Room Service|Internet Access,India,19.10663832,72.88994193,19,Hotel,40,Single Room,3.7,Maharashtra,1,2,3.7,0,0,1,0,1,0,0
214,Treebo Aroma Residency,Jaipur,Room Service|Internet Access|Restaurant,India,26.93036878,75.79277236,6,Hotel,21,Standard Room,4.4,Rajasthan,1,3,4.7,0,0,1,1,1,0,0
215,Treebo Bluten,Chennai,Room Service|Internet Access|Restaurant,India,13.04469,80.24226487,30,Hotel,18,Deluxe Room,4.1,Tamil Nadu,1,2,4.1,0,0,1,1,1,0,0
216,Treebo Brooks Manor,Pune,Room Service,India,18.56607608,73.94696445,3,Hotel,22,Deluxe Room,4.2,Maharashtra,1,2,4.2,0,0,0,0,1,0,0
217,Treebo Deccan 8,Pune,Room Service|Internet Access|Restaurant,India,18.51826477,73.83256531,30,Hotel,44,Standard Room,4.1,Maharashtra,1,3,4.1,0,0,1,1,1,0,0
218,Treebo Elan,Chennai,Room Service|Internet Access|Restaurant,India,13.0565057,80.240306,21,Hotel,18,Deluxe Room,4.6,Tamil Nadu,1,2,4.4,0,0,1,1,1,0,0
219,Treebo Elmas,Bangalore,Room Service|Internet Access,India,12.93530369,77.61312866,21,Hotel,24,Deluxe Double Room,4.2,Karnataka,1,3,4.6,0,0,1,0,1,0,0
220,Treebo Golden Castle,Mysore,Room Service|Internet Access,India,12.3217336,76.6464852,29,Hotel,22,Standard Room,4.3,Karnataka,1,2,4.5,0,0,1,0,1,0,0
221,Treebo KSR Park,Hyderabad,Room Service|Internet Access|Restaurant,India,17.43347036,78.37429786,9,Hotel,22,Standard Room,3.7,Andhra Pradesh,1,3,3.7,0,0,1,1,1,0,0
222,Treebo Morgen Suites,Bangalore,Room Service|Restaurant,India,12.9735949,77.6070334,0,Hotel,16,Standard Room,3.6,Karnataka,1,3,3.6,0,0,0,1,1,0,0
223,Treebo Royal Kourt,Aurangabad,Room Service|Restaurant,India,19.87298385,75.3213332,8,Hotel,34,Standard Room,3.8,Maharashtra,1,2,3.8,0,0,0,1,1,0,0
224,Treebo Tara Residency,Hyderabad,Room Service|Gym/Spa,India,17.4581398,78.3699885,7,Hotel,38,Standard Double Room,4,Andhra Pradesh,1,3,4.4,0,1,0,0,1,1,0
225,Treebo Woodsvilla Suites,Jaipur,Room Service|Internet Access|Restaurant,India,26.8910357,75.805535,26,Hotel,20,Deluxe Room,4.5,Rajasthan,1,3,4.5,0,0,1,1,1,0,0
226,Tri Sea Residency,Chennai,Room Service|Internet Access,India,13.065873,80.2755293,30,Hotel,33,Standard Room,3.1,Tamil Nadu,0,3,3.8,0,0,1,0,1,0,0
227,Trident Nariman Point,Mumbai,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,India,18.9255728,72.8242221,27,Hotel,515,Superior Room,4.5,Maharashtra,0,5,4.7,0,1,1,1,1,1,1
228,Triente Suites,Bangalore,Room Service,India,13.0280047,77.6399711,7,Hotel,10,Standard Room,4,Karnataka,0,1,4,0,0,0,0,1,0,0
229,Tropical Blooms Homestay,Coorg,Room Service|Internet Access|Free Internet,India,12.3374942,75.8069082,1,Homestay,3,Standard Room,4,Karnataka,1,3,4,1,0,1,0,1,0,0
230,Tuli Imperial,Nagpur,Room Service|Gym/Spa|Swimming Pool|Restaurant,India,21.1344867,79.0730964,12,Hotel,93,Deluxe Room,4.3,Maharashtra,1,5,4.3,0,1,0,1,1,1,1
231,Tulip House,Allahabad,Room Service,India,25.4572339,81.8394058,5,Hotel,20,Club Room,2.6,Uttar Pradesh,0,3,2.6,0,0,0,0,1,0,0
232,Tulip Inn Bangalore,Bangalore,Room Service|Internet Access|Restaurant,India,12.999357,77.5838052,15,Hotel,56,Superior Room,3.6,Karnataka,0,3,3.6,0,0,1,1,1,0,0
233,Udai Haveli Guest House,Udaipur,Room Service,India,24.5777347,73.7014444,7,Guest House,6,Standard Room,4.9,Rajasthan,1,1,4.9,0,0,0,0,1,0,0
234,UNA Smart Radiant Plaza,Barnala,Room Service|Internet Access|Free Internet,India,30.38237209,75.54442683,1,Hotel,28,Deluxe Room,4.4,Punjab,1,3,4.4,1,0,1,0,1,0,0
235,United 21 Resort,Kodaikanal,Room Service|Restaurant,India,10.26178465,77.4915545,14,Resort,31,Standard Room,3.7,Tamil Nadu,0,3,4,0,0,0,1,1,0,0
236,United 21 Resort,Mahabaleshwar,Room Service|Internet Access|Swimming Pool|Restaurant,India,17.92603193,73.6936346,0,Resort,31,Deluxe Room,3.7,Maharashtra,1,2,3.7,0,0,1,1,1,0,1
237,Urban Retreat,Bangalore,Gym/Spa,India,12.9741527,77.6461942,9,Service Apartment,17,Deluxe Room,4.1,Karnataka,1,3,3.6,0,1,0,0,0,1,0
238,Vardaan Resorts,Patnitop,Room Service|Restaurant,India,33.07337846,75.33515129,14,Hotel,45,Regular Junior Wing (Non-Heated- Portable Heaters),4.2,Jammu and Kashmir,0,3,3.5,0,0,0,1,1,0,0
239,Varsha International,Thrissur,Room Service|Gym/Spa|Restaurant|Free Internet,India,9.743347768,76.51407597,1,Hotel,12,Deluxe AC Room,2.7,Kerala,1,3,3.3,1,1,0,1,1,1,0
240,Vasco Residency,Goa,Restaurant,India,15.39755106,73.8127881,5,Hotel,6,Non AC Room,3.9,Goa,0,1,3.5,0,0,0,1,0,0,0
241,Vedanta Wake Up - Ernakulam North Station,Cochin,Internet Access,India,9.9901897,76.2810132,3,Hotel,56,Double Deluxe AC Room,3.8,Kerala,1,1,4.1,0,0,1,0,0,0,0
242,Vedanta Wake Up - Fern Hill,Kodaikanal,Internet Access|Free Internet,India,10.2432819,77.4937284,11,Hotel,34,Double Deluxe Non AC Room,3.7,Tamil Nadu,1,1,3.7,1,0,1,0,0,0,0
243,Vedanta Wake Up - Town Center,Munnar,Internet Access,India,10.0837092,77.0615374,14,Hotel,17,Double Deluxe Non AC Room,4,Kerala,1,1,4,0,0,1,0,0,0,0
244,Vedanta Wake Up - Town Center,Ooty,Internet Access,India,11.409461,76.708527,0,Hotel,51,Double Deluxe Room,2.4,Tamil Nadu,0,1,3.1,0,0,1,0,0,0,0
245,Vesta International,Jaipur,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,India,26.9145786,75.79107451,20,Hotel,82,Royal Deluxe Room,4,Rajasthan,0,4,4.1,0,1,1,1,1,1,1
246,Vesta Maurya Palace,Jaipur,Room Service|Internet Access|Swimming Pool|Restaurant,India,26.91642506,75.81134717,33,Hotel,58,Royal Deluxe Room,4.1,Rajasthan,1,3,4.1,0,0,1,1,1,0,1
247,Vestin Park,Chennai,Room Service|Internet Access|Restaurant|Free Internet,India,13.0669692,80.2595221,43,Hotel,17,Deluxe Room,3.9,Tamil Nadu,1,3,4.3,1,0,1,1,1,0,0
248,Vihal Estancia,Yercaud,Room Service|Restaurant,India,11.78202014,78.19831955,6,Hotel,15,Valley View Room,3.9,Tamil Nadu,0,2,3.9,0,0,0,1,1,0,0
249,Vihar Deluxe,Ratnagiri,Room Service|Restaurant,India,16.6577071,73.517692,2,Hotel,40,Non AC Room,4,Maharashtra,1,1,4.2,0,0,0,1,1,0,0
250,Village Heart Cottage,Manali,Room Service|Internet Access|Free Internet,India,32.222579,77.1845794,4,Hotel,16,Deluxe Room,3.3,Himachal Pradesh,1,3,3.3,1,0,1,0,1,0,0
251,Vinstar Serviced Apartments,Pune,Room Service|Gym/Spa|Restaurant,India,18.58458419,73.730404,3,Hotel,37,Standard Room,4.4,Maharashtra,1,3,4.5,0,1,0,1,1,1,0
252,Vishnu Priya Lodge,Hyderabad,Room Service,India,17.4027421,78.4524591,0,Lodge,5,Deluxe AC Room,4,Andhra Pradesh,0,1,4,0,0,0,0,1,0,0
253,VITS Hotel,Pune,Room Service|Gym/Spa|Swimming Pool|Restaurant|Free Internet,India,18.57130051,73.76461029,4,Hotel,100,Executive Room,4.1,Maharashtra,1,4,3.8,1,1,0,1,1,1,1
254,VLS Residency,Vinukonda,Room Service,India,16.0568398,79.7453318,1,Hotel,12,Deluxe AC Room,3.5,Andhra Pradesh,0,1,3.5,0,0,0,0,1,0,0
255,Volga Hotel,Pahalgam,Room Service|Internet Access|Restaurant|Free Internet,India,34.0203549,75.3151618,2,Hotel,90,Deluxe Room,3.5,Jammu and Kashmir,1,3,4.3,1,0,1,1,1,0,0
256,Vora Corporate Inn,Nagpur,Room Service,India,21.1582486,79.0829521,6,Service Apartment,2,Standard AC Room,4,Maharashtra,1,1,4,0,0,0,0,1,0,0
257,Vythiri Resort,Wayanad,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,India,11.518487,76.045331,1,Resort,41,Honeymoon Pool Villa,4.3,Kerala,0,4,4.2,0,1,1,1,1,1,1
258,Vythiri Village,Wayanad,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,India,11.5613793,76.0419106,1,Resort,13,Deluxe Room,4.4,Kerala,1,5,4.4,0,1,1,1,1,1,1
259,Wanderers Camps,Shimla,Internet Access|Gym/Spa,India,31.0856576,77.3008506,3,Tent,4,Luxury Room,5,Himachal Pradesh,1,3,4.1,0,1,1,0,0,1,0
260,Wanderers Hostel,Goa,Internet Access|Swimming Pool,India,15.629444,73.735833,5,Hostel,65,Standard 6 Bed Mixed Dormitory,4.4,Goa,1,1,4.5,0,0,1,0,0,0,1
261,Wanderlust Goa Retreat,Goa,Room Service,India,15.55751514,73.75357056,6,Service Apartment,4,2 Room Apartment,4,Goa,0,1,4,0,0,0,0,1,0,0
262,Wangnoo Houseboats,Srinagar,Room Service|Restaurant|Free Internet,India,34.12174423,74.82722779,14,Houseboat,8,Deluxe Room,3.9,Jammu and Kashmir,1,3,3.7,1,0,0,1,1,0,0
263,Wayanad Gate Resort,Wayanad,Room Service|Restaurant|Free Internet,India,11.84160552,76.05423349,9,Hotel,17,Deluxe Non AC Room,3.9,Kerala,0,1,4.1,1,0,0,1,1,0,0
264,WelcomHeritage Gurkha Houseboats,Srinagar,Room Service|Free Internet,India,34.11859545,74.8274995,10,Houseboat,19,Deluxe Room,3.9,Jammu and Kashmir,0,2,4.4,1,0,0,0,1,0,0
265,WelcomHeritage The Golf View,Pachmarhi,Room Service|Restaurant,India,22.4667,78.4333,14,Resort,19,Forsyth Suite Room,4.2,Madhya Pradesh,0,4,4.4,0,0,0,1,1,0,0
266,WelcomHeritage Umed Bhawan Palace,Kota,Room Service|Restaurant,India,25.2096483,75.8664138,1,Palace,30,Deluxe Room,4,Rajasthan,1,4,4,0,0,0,1,1,0,0
267,Westin Residency,Chennai,Room Service,India,13.0826802,80.2707184,28,Hotel,6,Non AC Double Room,5,Tamil Nadu,1,1,5,0,0,0,0,1,0,0
268,Whispering Palms Beach Resort,Goa,Room Service|Gym/Spa|Swimming Pool|Restaurant,India,15.51032095,73.76816657,20,Resort,116,Balcony Room,4.1,Goa,0,4,4.2,0,1,0,1,1,1,1
269,Whispering Valley Resort,Manali,Room Service|Restaurant,India,32.24507685,77.19190679,19,Resort,31,Deluxe Room,3.7,Himachal Pradesh,1,3,2.7,0,0,0,1,1,0,0
270,White Square Nirvana,Goa,Room Service|Internet Access|Gym/Spa|Swimming Pool|Restaurant,India,15.5635065,73.8154394,4,Service Apartment,12,Deluxe AC Room,4.5,Goa,1,1,4.5,0,1,1,1,1,1,1
271,Winnies Holiday Resort,Kasauli,Room Service|Internet Access|Gym/Spa|Restaurant|Free Internet,India,30.8961066,76.9937963,8,Hotel,39,Deluxe Room,4.5,Himachal Pradesh,0,3,4.4,1,1,1,1,1,1,0
272,Wonderla Resort,Bangalore,Room Service|Gym/Spa|Swimming Pool|Restaurant,India,12.83811769,77.40180736,3,Resort,84,Deluxe Room,4.5,Karnataka,1,3,4.5,0,1,0,1,1,1,1
273,Woodsvilla Resort,Ranikhet,Room Service|Internet Access|Restaurant|Free Internet,India,29.68216609,79.50057863,10,Resort,10,Deluxe Room,4.4,Uttarakhand,0,3,4.6,1,0,1,1,1,0,0
274,Yashwant Niwas,Ganpatipule,Room Service,India,17.1488663,73.2726946,2,Homestay,9,2 Bed Room,2.8,Maharashtra,1,1,2.9,0,0,0,0,1,0,0
275,Yasmin Resort,Srinagar,Room Service|Free Internet,India,34.01736298,74.799278,5,Resort,11,Double Room,3.4,Jammu and Kashmir,1,3,2.5,1,0,0,0,1,0,0
276,Yogi Lodge,Varanasi,Room Service|Internet Access|Restaurant|Free Internet,India,25.3176452,82.9739144,4,Guest House,20,Single Room,4,Uttar Pradesh,0,1,4,1,0,1,1,1,0,0
277,Yokoso Thar Desert Camp,Jaisalmer,Room Service,India,26.8416156,70.5458295,2,Tent,8,Swiss Cottage,4,Rajasthan,0,1,4,0,0,0,0,1,0,0
278,Young Island Comforts,Bangalore,Room Service|Internet Access|Restaurant,India,12.9912573,77.5939384,0,Hotel,30,Standard Room,4.2,Karnataka,1,3,4.1,0,0,1,1,1,0,0
